ABBREV,COMPLET
CHP,CHAMP
ENFTS,ENFANTS
FBG,FAUBOURG
FBOURG,FAUBOURG
FG,FAUBOURG
GD,GRAND
GDS,GRANDS
GDE,GRANDE
GDES,GRANDES
HTS,HAUTS
HTE,HAUTE
HTES,HAUTES
NVE,NEUVE
PGE,PASSAGE
QRT,QUARTIER
CPT,CAPITAINE
DOCT,DOCTEUR
DCT,DOCTEUR
DR,DOCTEUR
GEN,GENERAL
CDT,COMMANDANT
LNT,LIEUTENANT
LT,LIEUTENANT
PDT,PRESIDENT
GPL,GRAND PLACE
PTR,PETITE RUE
ANC,ANCIEN
DIV,DIVISION
REGT,REGIMENT
ST,SAINT
STE,SAINTE
PTE,PORTE
ACH,ANCIEN CHEMIN
RPT,ROND-POINT
RD,ROND / ROUTE DEPARTEMENTALE
CD,CHEMIN DEPARTEMENTAL
VC,VOIE COMMUNALE
CV,CHEMIN VICINAL
PCE,PLACE
CRX,CROIX
CRS,COURS
CHT,CHATEAU

